0,1,2,3,4,5,6,7
﻿AAC,El Arish International Airport,El Arish,Egypt,31.07329941,33.83580017,Africa/Cairo,U
AAF,Apalachicola Regional Airport,Apalachicola,United States,29.72750092,-85.02749634,America/New_York,A
AAK,Buariki Airport,Buariki,Kiribati,0.185277998,173.6369934,-,U
AAM,Malamala Airport,Malamala,South Africa,-24.81809998,31.54459953,Africa/Johannesburg,U
AAO,Anaco Airport,Anaco,Venezuela,9.430225372,-64.47072601,America/Caracas,U
AAQ,Anapa Vityazevo Airport,Anapa,Russia,45.0021019,37.34730148,Europe/Moscow,N
AAT,Altay Air Base,Altay,China,47.74988556,88.0858078,Asia/Shanghai,U
AAX,Romeu Zema Airport,Araxa,Brazil,-19.5632,-46.96039963,America/Sao_Paulo,S
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala,14.8656,-91.501999,America/Guatemala,U
ABB,Asaba International Airport,Asaba,Nigeria,6.204167,6.665278,Africa/Lagos,N
ABD,Abadan Airport,Abadan,Iran,30.37109947,48.22829819,Asia/Tehran,E
ABF,Abaiang Airport,Abaiang Atoll,Kiribati,1.798609972,173.0410004,Pacific/Tarawa,U
ABI,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002,America/Chicago,A
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia,6.734,44.252998,Africa/Addis_Ababa,U
ABM,Northern Peninsula Airport,Amberley,Australia,-10.9508,142.459,Australia/Brisbane,O
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,America/Denver,A
ABS,Abu Simbel Airport,Abu Simbel,Egypt,22.37599945,31.61170006,Africa/Cairo,U
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161,7.263169765,Africa/Lagos,N
ABY,Southwest Georgia Regional Airport,Albany,United States,31.53549957,-84.19450378,America/New_York,A
ACA,General Juan N Alvarez International Airport,Acapulco,Mexico,16.75709915,-99.7539978,America/Mexico_City,S
ACD,Alcides Fern√°ndez Airport,Acandi,Colombia,8.51667,-77.3,America/Bogota,U
ACF,Brisbane Archerfield Airport,Brisbane,Australia,-27.57029915,153.0079956,Australia/Brisbane,O
ACI,Alderney Airport,Alderney,Guernsey,49.706104,-2.21472,Europe/Guernsey,E
ACK,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,America/New_York,A
ACP,Sahand Airport,Maragheh,Iran,37.34799957,46.12789917,Asia/Tehran,E
ACS,Achinsk Airport,Achinsk,Russia,56.2682991,90.57080078,-,N
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,United States,40.978101,-124.109,America/Los_Angeles,A
ACY,Atlantic City International Airport,Atlantic City,United States,39.45759964,-74.57720184,America/New_York,A
ADA,Adana Airport,Adana,Turkey,36.98220062,35.28039932,Europe/Istanbul,E
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.977890015,38.79930115,Africa/Addis_Ababa,U
ADF,Adƒ±yaman Airport,Adiyaman,Turkey,37.73139954,38.46889877,Europe/Istanbul,E
ADI,Arandis Airport,Arandis,Namibia,-22.46220016,14.97999954,-,-
ADK,Adak Airport,Adak Island,United States,51.87799835,-176.6459961,America/Adak,A
ADM,Ardmore Municipal Airport,Ardmore,United States,34.30301,-97.0196342,America/Chicago,A
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033,America/Anchorage,A
ADT,Ada Regional Airport,Ada,United States,34.804298,-96.671303,America/Chicago,A
ADW,Joint Base Andrews,Camp Springs,United States,38.810799,-76.866997,America/New_York,A
ADY,Alldays Airport,Alldays,South Africa,-22.67900085,29.05550003,Africa/Johannesburg,U
AEA,Abemama Atoll Airport,Abemama,Kiribati,0.490833014,173.8289948,Pacific/Tarawa,U
