Name,IATA,ICAO,Country,Active
Unknown,-,N/A,\N,Y
Private flight,-,N/A,,Y
135 Airways,,GNL,United States,N
1Time Airline,1T,RNX,South Africa,Y
2 Sqn No 1 Elementary Flying Training School,,WYT,United Kingdom,N
213 Flight Unit,,TFU,Russia,N
223 Flight Unit State Airline,,CHD,Russia,N
224th Flight Unit,,TTF,Russia,N
247 Jet Ltd,,TWF,United Kingdom,N
3D Aviation,,SEC,United States,N
40-Mile Air,Q5,MLA,United States,Y
4D Air,,QRT,Thailand,N
611897 Alberta Limited,,THD,Canada,N
Ansett Australia,AN,AAA,Australia,Y
Abacus International,1B,,Singapore,Y
Abelag Aviation,W9,AAB,Belgium,N
Army Air Corps,,AAC,United Kingdom,N
Aero Aviation Centre Ltd.,,AAD,Canada,N
Aero Servicios Ejecutivos Internacionales,,SII,Mexico,N
Aero Biniza,,BZS,Mexico,N
Aero Albatros,,ABM,Spain,N
Aigle Azur,ZI,AAF,France,Y
Aloha Airlines,AQ,AAH,United States,Y
Alaska Island Air,,AAK,United States,N
American Airlines,AA,AAL,United States,Y
Aviation Management Corporation,,AAM,United States,N
Atlantis Airlines (USA),,AAO,United States,N
Aerovista Airlines,,AAP,United Arab Emirates,N
Asiana Airlines,OZ,AAR,Republic of Korea,Y
Askari Aviation,4K,AAS,Pakistan,Y
Australia Asia Airlines,,AAU,Australia,N
Astro Air International,,AAV,United States,N
Afriqiyah Airways,8U,AAW,Libya,Y
Afrinat International Airlines,Q9,AFU,Gambia,N
Afric'air Express,,AAX,Ivory Coast,N
Allegiant Air,G4,AAY,United States,Y
Angus Aviation,,AAZ,Canada,N
Artem-Avia,,ABA,Ukraine,N
African Business and Transportations,,ABB,Democratic Republic of the Congo,N
Aban Air,K5,ABE,Iran,n
Aerial Oy,,ABF,Finland,N
Abakan-Avia,,ABG,Russia,N
ABSA - Aerolinhas Brasileiras,M3,TUS,Brazil,Y
Abaet,,ABJ,Brazil,N
Alberta Citylink,,ABK,Canada,N
APSA Colombia,,ABO,Colombia,N
Aerovias Bueno,,ABU,Colombia,N
Aerocenter,,ACR,AEROCENTER,N
Antrak Air,4,ABV,Ghana,N
Airborne Express,GB,ABX,United States,N
ABX Air,GB,ABX,United States,N
ATA Brasil,,ABZ,Brazil,N
Avcard Services,,ACC,United Kingdom,N
Academy Airlines,,ACD,United States,N
Aero Comondu,,ACO,Mexico,N
Astral Aviation,8V,ACP,Kenya,Y
Air Cess,,ACS,Liberia,N
Air Aurora,,AAI,United States,N
Air Cargo Transportation System,,ACU,Kenya,N
Air Charter Service,,ACV,United Kingdom,N
Aero Asia International,E4,RSO,Pakistan,N
Air Charters,,ACX,Canada,N
Air Togo,YT,TGA,Togo,N
Air Somalia,,RSM,Somali Republic,N
Atlas Cargo Lines,,ACY,Morocco,N
Airservices Australia,,ADA,Australia,N
Advance Leasing Company,4G,,United States,N
Aztec Worldwide Airlines,7A,,United States,N
Air Tindi,8T,,Canadian Territories,Y
Antonov Airlines,,ADB,Ukraine,N
Air Atlantic Dominicana,,ADC,Dominican Republic,N
Advanced Air Co.,,ADD,Japan,N
Ada Air,ZY,ADE,Albania,Y
Aerea Flying Training Organization,,ADG,Spain,N
Audeli Air,,ADI,Spain,N
Abicar,,ADJ,Ivory Coast,N
ADC Airlines,Z7,ADK,Nigeria,N
Aero Dynamics,,ADL,United Kingdom,N
Aerolineas Dominicanas,,ADM,Dominican Republic,N
Aerodienst GmbH,,ADN,Germany,N
Aerodiplomatic,,ADP,Mexico,N
Aerodyne,,ADY,United States,N
Avion Taxi,,ADQ,Canada,N
Adria Airways,JP,ADR,Slovenia,Y
Aviones de Sonora,,ADS,Mexico,N
Air Dorval,,ADT,Canada,N
Airdeal Oy,,ADU,Finland,N
Advance Air Charters,,ADV,Canada,N
Air Andaman,,ADW,Thailand,N
Anderson Aviation,,ADX,United States,N
Air Europa,UX,AEA,Spain,Y
Air Southwest Ltd.,,ASW,Canada,N
Air Special,,ASX,Czech Republic,N
Aero Benin,EM,AEB,Benin,Y
Aerocesar,,AEC,AEROCESAR,N
Aerotrans Airlines,,AED,Russia,N
Aegean Airlines,A3,AEE,Greece,Y
Aerofumigaciones Sam,,AEG,Chile,N
Aeroexpreso Interamericano,,AEI,Colombia,N
Air Express,,AEJ,Tanzania,N
Aerocon,,AEK,Bolivia,N
Aero Madrid,,AEM,Spain,N
Aeroenlaces Nacionales,,AEN,Mexico,N
Aeroservicios Ejecutivos Del Occidente,,AEO,Mexico,N
Aerotec,,AEP,Spain,N
Air Atlantique,KI,AAG,United Kingdom,N
Air Europe,PE,AEL,Italy,Y
Air Alma,,AAJ,Canada,N
Air Express,,AEQ,Sweden,N
Alaska Central Express,KO,AER,United States,Y
ACES Colombia,,AES,Colombia,Y
Aeronautical Radio of Thailand,,AET,Thailand,N
Astraeus,5W,AEU,United Kingdom,Y
Aeroventas,,AEV,Mexico,N
Aerosvit Airlines,VV,AEW,Ukraine,Y
Airway Express,,AEX,United States,N
Air Italy,I9,AEY,Italy,Y
Aerial Transit Company,,AEZ,United States,N
Alfa Air,,AFA,Czech Republic,N
American Falcon,WK,AFB,Argentina,N
Alliance Airlines,QQ,UTY,Australia,Y
Air Universal,,UVS,Sierra Leone,N
Auvia Air,,UVT,Indonesia,N
African West Air,,AFC,Senegal,N
Airfast Indonesia,,AFE,Indonesia,N
Ariana Afghan Airlines,FG,AFG,Afghanistan,Y
Air Fecteau,,AFH,Canada,N
Africaone,,AFI,Uganda,N
Alliance,,AFJ,Uganda,N
Africa Air Links,,AFK,Sierra Leone,N
Aeroflot Russian Airlines,SU,AFL,Russia,Y
Aero Empresa Mexicana,,AFO,Mexico,N
Air Bosna,JA,BON,Bosnia and Herzegovina,Y
Air Bravo,,BRF,Uganda,N
Air Brasd'or,,BRL,Canada,N
Air 500,,BRM,Canada,N
Alba Servizi Aerotrasporti,,AFQ,Italy,N
Air France,AF,AFR,France,Y
Air Partner,,ACG,United Kingdom,N
Air Caledonie International,SB,ACI,France,Y
Air Caledonia,,ACM,Canada,N
Air Guam,,AGM,United States,N
Air Gabon,GN,AGN,Gabon,N
Air Data,,AFS,United Kingdom,N
Air Afrique Vacancies,,AFV,Ivory Coast,N
Air Cargo America,,MVM,United States,N
Air Salone,2O,,Sierra Leone,Y
Air-Angol,,NGO,Angola,N
Air Nigeria,,NGP,Nigeria,N
Air Cargo Carriers,2Q,SNC,United States,Y
Air Samarkand,,SND,Uzbekistan,N
Air Senegal International,V7,SNG,Senegal,N
Air Sandy,,SNY,Canada,N
Air Namibia,SW,NMB,Namibia,Y
Air Intersalonika,,NSK,Greece,N
Air Anatolia,,NTL,Turkey,N
Air Saigon,,SGA,Vietnam,N
Afrique Regional Airways,,AFW,Ivory Coast,N
Airfreight Express,,AFX,United Kingdom,N
Africa Chartered Services,,AFY,Nigeria,N
Africa Freight Services,,AFZ,Zambia,N
Aeronaves Del Centro,,AGA,Venezuela,N
Air Service Gabon,G8,AGB,Gabon,N
Arab Agricultural Aviation Company,,AGC,Egypt,N
Atlantic Gulf Airlines,,AGF,United States,N
Aerolitoral,5D,SLI,Mexico,Y
Algoma Airways,,AGG,Canada,N
Altagna,,AGH,France,N
Angola Air Charter,,AGO,Angola,N
Angola Air Charter,,AGO,Angola,N
AERFI Group,,AGP,Ireland,N
Aerogala,,AGQ,Chile,N
Amadeus Global Travel Distribution,1A,AGT,Spain,N
Angara Airlines,,AGU,Russia,N
Air Glaciers,7T,AGV,Switzerland,Y
Aero Gambia,,AGW,Gambia,N
Aviogenex,,AGX,Serbia,Y
Atlantic Coast Airlines,,BLR,United States,N
Aero Barloz,,BLZ,Mexico,N
Aeroper,PL,PLI,Peru,Y
Atlas Blue,8A,BMM,Morocco,Y
Aero Banobras,,BNB,Mexico,N
Aero Flight Service,,AGY,United States,N
Agrolet-Mci,,AGZ,Slovakia,N
Air Alpha Greenland,GD,AHA,Denmark,N
Azal Avia Cargo,,AHC,Azerbaijan,N
Airport Helicopter Basel,,AHE,AIRPORT HELICOPTER,N
Aeroservices Corporate,,CJE,France,N
Aspen Helicopters,,AHF,United States,N
Aerochago Airlines,,AHG,Dominican Republic,N
Airplanes Holdings,,AHH,Ireland,N
Air Hong Kong,LD,AHK,Hong Kong,N
Aerochiapas,,AHP,Mexico,N
Air Adriatic,,AHR,Croatia,N
Air Viggi San Raffaele,,AHS,Italy,N
ABC Air Hungary,,AHU,Hungary,N
Aeromist-Kharkiv,HT,AHW,Ukraine,N
Azerbaijan Airlines,J2,AHY,Azerbaijan,Y
Avies,U3,AIA,Estonia,Y
Airbus Industrie,AP,AIB,France,N
Alpine Air Chile,,AIH,Chile,N
Air Integra,,AII,Canada,N
ABC Aerolineas,,AIJ,Mexico,N
African Airlines International Limited,,AIK,Kenya,N
African International Airways,,AIN,Swaziland,N
Alpine Air Express,5A,AIP,United States,N
Alicante Internacional Airlines,,AIU,Spain,N
Aba Air,,ABP,Czech Republic,N
Airblue,ED,ABQ,Pakistan,Y
Airmark Aviation,,THM,Thailand,N
Airlift International,,AIR,United States,Y
Airest,,AIT,Estonia,N
Air Baffin,,BFF,Canada,N
Air Bandama,,BDM,Ivory Coast,N
Air Berlin,AB,BER,Germany,Y
Air Brousse,,ABT,Canada,N
Air Contractors,AG,ABR,Ireland,N
Air Illinois,,AIL,United States,N
Air India Limited,AI,AIC,India,Y
Air Inter Gabon,,AIG,Gabon,N
Air Bourbon,ZB,BUB,Reunion,Y
Air Atlanta Icelandic,CC,ABD,Iceland,Y
Air Inuit,,AIE,Canada,N
Air Sureste,,AIS,Spain,N
Air Srpska,RB,SBK,Bosnia and Herzegovina,N
Air Tahiti Nui,TN,THT,France,Y
Airvias S/A Linhas Aereas,,AIV,Brazil,N
Aero Services Executive,W4,BES,France,N
Atlantic Island Airways,,AIW,Canada,N
Aircruising Australia,,AIX,Australia,N
Aircrew Check and Training Australia,,AIY,Australia,N
Arkia Israel Airlines,IZ,AIZ,Israel,Y
A J Services,,AJA,United Kingdom,N
Aero JBR,,AJB,Mexico,N
Aero Jet Express,,AJE,Mexico,N
Avia Consult Flugbetriebs,,AJF,Austria,N
Ameristar Jet Charter,,AJI,United States,N
A2 Jet Leasing,,AJJ,United States,N
Allied Air,,AJK,Nigeria,N
