IATA,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Time Zone
GKA,Goroka Airport,Goroka,Papua New Guinea,-6.081689835,145.3919983,5282,10,U,Pacific/Port_Moresby
MAG,Madang Airport,Madang,Papua New Guinea,-5.207079887,145.7890015,20,10,U,Pacific/Port_Moresby
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.2960052,5388,10,U,Pacific/Port_Moresby
LAE,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby
POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.443380356,147.2200012,146,10,U,Pacific/Port_Moresby
WWK,Wewak International Airport,Wewak,Papua New Guinea,-3.583830118,143.6690063,19,10,U,Pacific/Port_Moresby
UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,61.16049957,-45.42599869,112,-3,E,America/Godthab
GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.67810059,283,-3,E,America/Godthab
SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122219,-50.71160316,165,-3,E,America/Godthab
THU,Thule Air Base,Thule,Greenland,76.53119659,-68.70320129,251,-4,E,America/Thule
AEY,Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005,6,0,N,Atlantic/Reykjavik
EGS,Egilsstaðir Airport,Egilsstadir,Iceland,65.28330231,-14.40139961,76,0,N,Atlantic/Reykjavik
HFN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik
HZK,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik
IFJ,Ísafjörður Airport,Isafjordur,Iceland,66.05809784,-23.13529968,8,0,N,Atlantic/Reykjavik
KEF,Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036,171,0,N,Atlantic/Reykjavik
